ano,sigla_uf,id_municipio,raca_cor,sexo,localizacao,idhm,idhm_l,idhm_e,idhm_r,idhm_subescolaridade,idhm_subfrequencia,prosperidade_social,proporcao_vulnerabilidade_socioeconomica,proporcao_sem_agua_esgoto,proporcao_sem_coleta,renda_per_capita,proporcao_sem_renda_18_mais,renda_trabalho,proporcao_vulneravel,razao_dependencia,fecundidade_total,taxa_envelhecimento,mortalidade_1_menos,proporcao_crianca_fora_escola_6_14,proporcao_analfabetismo_18_mais,proporcao_fundamental_completo_18_mais,proporcao_medio_completo_18_20,expectativa_vida,populacao_18_mais,populacao_65_mais
2010,PB,2501153,total,mulher,total,0.605,0.766,0.521,0.554,0.344,0.642,baixo,3.21,9.74,8.2,251.75,24.11,40.92,67.64,54.17,1.92,8.31,24.7,0.0,30.27,34.39,8.87,70.95,634,80
2010,PB,2515302,total,mulher,total,0.597,0.763,0.493,0.564,0.339,0.595,muito baixo,3.58,14.54,3.98,267.43,17.11,45.63,67.51,53.57,1.75,9.69,25.49,4.49,30.16,33.88,20.98,70.8,17487,2466
2010,CE,2301703,total,mulher,total,0.634,0.789,0.578,0.56,0.381,0.712,baixo,1.73,17.83,6.54,260.27,17.86,33.62,66.8,55.81,1.62,11.27,21.59,1.2,22.17,38.05,40.74,72.35,8607,1388
2010,CE,2305654,total,mulher,total,0.601,0.773,0.553,0.507,0.322,0.724,baixo,0.97,13.52,10.73,188.07,23.92,24.57,74.91,63.55,1.88,11.91,23.52,2.09,33.49,32.19,30.06,71.36,3847,677
2010,CE,2313351,total,mulher,total,0.613,0.773,0.577,0.518,0.395,0.697,baixo,3.81,35.8,3.28,200.55,13.72,39.93,75.71,64.06,1.93,8.08,23.34,2.18,21.41,39.53,40.19,71.39,5183,662
2000,PR,4103305,total,mulher,total,0.602,0.768,0.485,0.587,0.319,0.597,baixo,,3.49,10.81,307.93,23.07,57.09,57.42,52.39,1.74,8.4,21.21,7.62,18.42,31.88,34.24,71.05,3265,394
2000,PR,4107504,total,mulher,total,0.68,0.787,0.601,0.663,0.417,0.723,baixo,,1.82,0.36,495.77,7.71,68.85,49.23,52.46,1.62,6.67,19.69,3.14,16.9,41.66,46.62,72.24,4761,472
2000,PR,4108502,total,mulher,total,0.556,0.773,0.366,0.609,0.234,0.458,muito baixo,,6.66,5.17,352.87,10.03,74.24,64.86,68.18,2.12,4.62,22.36,18.33,15.18,23.38,13.29,71.4,3879,303
2000,PR,4117214,total,mulher,total,0.62,0.772,0.512,0.602,0.294,0.676,baixo,,5.38,2.46,339.73,18.87,63.61,65.91,62.55,2.08,7.15,21.78,10.0,24.1,29.41,37.61,71.35,1164,130
2000,PR,4118709,total,mulher,total,0.581,0.793,0.414,0.599,0.255,0.528,muito baixo,,16.59,16.23,331.67,13.65,58.72,55.72,64.6,1.86,9.73,18.77,7.43,5.46,25.5,27.41,72.56,2000,296
2010,PE,2604155,total,mulher,total,0.615,0.771,0.575,0.524,0.358,0.729,baixo,4.83,60.17,6.32,209.2,55.55,32.35,70.63,57.72,1.72,10.39,23.8,1.21,29.99,35.8,40.25,71.26,4722,724
